Item,Condition,Current Qty,Par Qty,Minimum Restock,Unit,Vendor,Category,Code (copy to gform),PNS,TRIGGER,Merged Doc ID - Sarkop Stock Opname PDF,Merged Doc URL - Sarkop Stock Opname PDF,Link to merged Doc - Sarkop Stock Opname PDF,Document Merge Status - Sarkop Stock Opname PDF
Ahmad Tea - Rose Hib Cherry,Bahaya!,0,1,2,pack utuh,Online,Bahan Lainnya,Ahmad Tea - Rose Hib Cherry [pack utuh],,,1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv,https://drive.google.com/file/d/1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv/view?usp=drivesdk,Laporan Sarkop SO_11/01/2025,Data merged and appended successfully; PDF created; Run via form trigger as sarjanawarkop.id@gmail.com; Timestamp: Oct 31 2025 10:16 PM
Ahmad Tea - Mixed Berries & Hibiscus,Bahaya!,0,1,2,pack utuh,Online,Bahan Lainnya,Ahmad Tea - Mixed Berries & Hibiscus [pack utuh],,,1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv,https://drive.google.com/file/d/1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv/view?usp=drivesdk,Laporan Sarkop SO_11/01/2025,Data merged and appended successfully; PDF created; Run via form trigger as sarjanawarkop.id@gmail.com; Timestamp: Oct 31 2025 10:16 PM
Ahmad Tea - Lemon & Lime,-,2,1,2,pack utuh,Online,Bahan Lainnya,Ahmad Tea - Lemon & Lime [pack utuh],,,1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv,https://drive.google.com/file/d/1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv/view?usp=drivesdk,Laporan Sarkop SO_11/01/2025,Data merged and appended successfully; PDF created; Run via form trigger as sarjanawarkop.id@gmail.com; Timestamp: Oct 31 2025 10:16 PM
Ahmad Tea - Raspberry & Pomegranate,Bahaya!,0,1,2,pack utuh,Online,Bahan Lainnya,Ahmad Tea - Raspberry & Pomegranate [pack utuh],,,1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv,https://drive.google.com/file/d/1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv/view?usp=drivesdk,Laporan Sarkop SO_11/01/2025,Data merged and appended successfully; PDF created; Run via form trigger as sarjanawarkop.id@gmail.com; Timestamp: Oct 31 2025 10:16 PM
Ahmad Tea - Peach & Passion Fruit,Bahaya!,0,1,2,pack utuh,Online,Bahan Lainnya,Ahmad Tea - Peach & Passion Fruit [pack utuh],,,1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv,https://drive.google.com/file/d/1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv/view?usp=drivesdk,Laporan Sarkop SO_11/01/2025,Data merged and appended successfully; PDF created; Run via form trigger as sarjanawarkop.id@gmail.com; Timestamp: Oct 31 2025 10:16 PM
Ahmad Tea - Peach & Lychee,Bahaya!,0,2,4,pack utuh,Online,Bahan Lainnya,Ahmad Tea - Peach & Lychee [pack utuh],,,1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv,https://drive.google.com/file/d/1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv/view?usp=drivesdk,Laporan Sarkop SO_11/01/2025,Data merged and appended successfully; PDF created; Run via form trigger as sarjanawarkop.id@gmail.com; Timestamp: Oct 31 2025 10:16 PM
Ahmad Tea - Evening Tea Decaffeinated,Bahaya!,0,1,2,pack utuh,Online,Bahan Lainnya,Ahmad Tea - Evening Tea Decaffeinated [pack utuh],,,1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv,https://drive.google.com/file/d/1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv/view?usp=drivesdk,Laporan Sarkop SO_11/01/2025,Data merged and appended successfully; PDF created; Run via form trigger as sarjanawarkop.id@gmail.com; Timestamp: Oct 31 2025 10:16 PM
Ahmad Tea - Mix Citrus,Bahaya!,0,1,2,pack utuh,Online,Bahan Lainnya,Ahmad Tea - Mix Citrus [pack utuh],,,1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv,https://drive.google.com/file/d/1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv/view?usp=drivesdk,Laporan Sarkop SO_11/01/2025,Data merged and appended successfully; PDF created; Run via form trigger as sarjanawarkop.id@gmail.com; Timestamp: Oct 31 2025 10:16 PM
Ahmad Tea - Lychee,Bahaya!,0,1,2,pack utuh,Online,Bahan Lainnya,Ahmad Tea - Lychee [pack utuh],,,1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv,https://drive.google.com/file/d/1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv/view?usp=drivesdk,Laporan Sarkop SO_11/01/2025,Data merged and appended successfully; PDF created; Run via form trigger as sarjanawarkop.id@gmail.com; Timestamp: Oct 31 2025 10:16 PM
Ahmad Tea - English Breakfast Tea,Bahaya!,0,1,2,pack utuh,Online,Bahan Lainnya,Ahmad Tea - English Breakfast Tea [pack utuh],,,1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv,https://drive.google.com/file/d/1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv/view?usp=drivesdk,Laporan Sarkop SO_11/01/2025,Data merged and appended successfully; PDF created; Run via form trigger as sarjanawarkop.id@gmail.com; Timestamp: Oct 31 2025 10:16 PM
Ahmad Tea - Green Tea Sencha,Bahaya!,0,1,2,pack utuh,Online,Bahan Lainnya,Ahmad Tea - Green Tea Sencha [pack utuh],,,1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv,https://drive.google.com/file/d/1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv/view?usp=drivesdk,Laporan Sarkop SO_11/01/2025,Data merged and appended successfully; PDF created; Run via form trigger as sarjanawarkop.id@gmail.com; Timestamp: Oct 31 2025 10:16 PM
Dilmah - Ginger & Honey,Bahaya!,0,1,2,pack utuh,Online,Bahan Lainnya,Dilmah - Ginger & Honey [pack utuh],,,1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv,https://drive.google.com/file/d/1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv/view?usp=drivesdk,Laporan Sarkop SO_11/01/2025,Data merged and appended successfully; PDF created; Run via form trigger as sarjanawarkop.id@gmail.com; Timestamp: Oct 31 2025 10:16 PM
Dilmah - Lychee,Bahaya!,0,1,2,pack utuh,Online,Bahan Lainnya,Dilmah - Lychee [pack utuh],,,1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv,https://drive.google.com/file/d/1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv/view?usp=drivesdk,Laporan Sarkop SO_11/01/2025,Data merged and appended successfully; PDF created; Run via form trigger as sarjanawarkop.id@gmail.com; Timestamp: Oct 31 2025 10:16 PM
Dilmah - Peach & Lychee,-,1,1,2,pack utuh,Online,Bahan Lainnya,Dilmah - Peach & Lychee [pack utuh],,,1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv,https://drive.google.com/file/d/1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv/view?usp=drivesdk,Laporan Sarkop SO_11/01/2025,Data merged and appended successfully; PDF created; Run via form trigger as sarjanawarkop.id@gmail.com; Timestamp: Oct 31 2025 10:16 PM
Dilmah - Moroccan Mint,-,1,1,2,pack utuh,Online,Bahan Lainnya,Dilmah - Moroccan Mint [pack utuh],,,1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv,https://drive.google.com/file/d/1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv/view?usp=drivesdk,Laporan Sarkop SO_11/01/2025,Data merged and appended successfully; PDF created; Run via form trigger as sarjanawarkop.id@gmail.com; Timestamp: Oct 31 2025 10:16 PM
Dilmah - Oolong Tea,-,1,1,2,pack utuh,Online,Bahan Lainnya,Dilmah - Oolong Tea [pack utuh],,,1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv,https://drive.google.com/file/d/1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv/view?usp=drivesdk,Laporan Sarkop SO_11/01/2025,Data merged and appended successfully; PDF created; Run via form trigger as sarjanawarkop.id@gmail.com; Timestamp: Oct 31 2025 10:16 PM
Dilmah Exceptional - Berry Sensation,Bahaya!,0,1,2,pack utuh,Online,Bahan Lainnya,Dilmah Exceptional - Berry Sensation [pack utuh],,,1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv,https://drive.google.com/file/d/1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv/view?usp=drivesdk,Laporan Sarkop SO_11/01/2025,Data merged and appended successfully; PDF created; Run via form trigger as sarjanawarkop.id@gmail.com; Timestamp: Oct 31 2025 10:16 PM
Dilmah Exceptional - Ceylon Green Tea,-,1,1,2,pack utuh,Online,Bahan Lainnya,Dilmah Exceptional - Ceylon Green Tea [pack utuh],,,1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv,https://drive.google.com/file/d/1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv/view?usp=drivesdk,Laporan Sarkop SO_11/01/2025,Data merged and appended successfully; PDF created; Run via form trigger as sarjanawarkop.id@gmail.com; Timestamp: Oct 31 2025 10:16 PM
Dilmah Exceptional - Rose with French Vanilla,Bahaya!,0,1,2,pack utuh,Online,Bahan Lainnya,Dilmah Exceptional - Rose with French Vanilla [pack utuh],,,1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv,https://drive.google.com/file/d/1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv/view?usp=drivesdk,Laporan Sarkop SO_11/01/2025,Data merged and appended successfully; PDF created; Run via form trigger as sarjanawarkop.id@gmail.com; Timestamp: Oct 31 2025 10:16 PM
Dilmah Exceptional - Peppermint & English Toffee,Bahaya!,0,1,2,pack utuh,Online,Bahan Lainnya,Dilmah Exceptional - Peppermint & English Toffee [pack utuh],,,1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv,https://drive.google.com/file/d/1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv/view?usp=drivesdk,Laporan Sarkop SO_11/01/2025,Data merged and appended successfully; PDF created; Run via form trigger as sarjanawarkop.id@gmail.com; Timestamp: Oct 31 2025 10:16 PM
Sir Thomas J. Lipton - Forrest Berries,-,1,1,2,pack utuh,Online,Bahan Lainnya,Sir Thomas J. Lipton - Forrest Berries [pack utuh],,,1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv,https://drive.google.com/file/d/1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv/view?usp=drivesdk,Laporan Sarkop SO_11/01/2025,Data merged and appended successfully; PDF created; Run via form trigger as sarjanawarkop.id@gmail.com; Timestamp: Oct 31 2025 10:16 PM
Sir Thomas J. Lipton - Green Tea with Jasmine,-,3,1,2,pack utuh,Online,Bahan Lainnya,Sir Thomas J. Lipton - Green Tea with Jasmine [pack utuh],,,1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv,https://drive.google.com/file/d/1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv/view?usp=drivesdk,Laporan Sarkop SO_11/01/2025,Data merged and appended successfully; PDF created; Run via form trigger as sarjanawarkop.id@gmail.com; Timestamp: Oct 31 2025 10:16 PM
Sir Thomas J. Lipton - Decaffeinated Black Tea,Bahaya!,0,1,2,pack utuh,Online,Bahan Lainnya,Sir Thomas J. Lipton - Decaffeinated Black Tea [pack utuh],,,1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv,https://drive.google.com/file/d/1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv/view?usp=drivesdk,Laporan Sarkop SO_11/01/2025,Data merged and appended successfully; PDF created; Run via form trigger as sarjanawarkop.id@gmail.com; Timestamp: Oct 31 2025 10:16 PM
Sir Thomas J. Lipton - English Breakfast Tea,Bahaya!,0,1,2,pack utuh,Online,Bahan Lainnya,Sir Thomas J. Lipton - English Breakfast Tea [pack utuh],,,1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv,https://drive.google.com/file/d/1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv/view?usp=drivesdk,Laporan Sarkop SO_11/01/2025,Data merged and appended successfully; PDF created; Run via form trigger as sarjanawarkop.id@gmail.com; Timestamp: Oct 31 2025 10:16 PM
Twinnings - Strawberry & Mango,Bahaya!,0,1,2,pack utuh,Online,Bahan Lainnya,Twinnings - Strawberry & Mango [pack utuh],,,1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv,https://drive.google.com/file/d/1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv/view?usp=drivesdk,Laporan Sarkop SO_11/01/2025,Data merged and appended successfully; PDF created; Run via form trigger as sarjanawarkop.id@gmail.com; Timestamp: Oct 31 2025 10:16 PM
Twinnings - Darjeeling Tea,Bahaya!,0,1,2,pack utuh,Online,Bahan Lainnya,Twinnings - Darjeeling Tea [pack utuh],,,1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv,https://drive.google.com/file/d/1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv/view?usp=drivesdk,Laporan Sarkop SO_11/01/2025,Data merged and appended successfully; PDF created; Run via form trigger as sarjanawarkop.id@gmail.com; Timestamp: Oct 31 2025 10:16 PM
Twinnings - Earl Grey Tea,Bahaya!,0,1,2,pack utuh,Online,Bahan Lainnya,Twinnings - Earl Grey Tea [pack utuh],,,1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv,https://drive.google.com/file/d/1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv/view?usp=drivesdk,Laporan Sarkop SO_11/01/2025,Data merged and appended successfully; PDF created; Run via form trigger as sarjanawarkop.id@gmail.com; Timestamp: Oct 31 2025 10:16 PM
Twinnings - Four Red Fruits,Bahaya!,0,1,2,pack utuh,Online,Bahan Lainnya,Twinnings - Four Red Fruits [pack utuh],,,1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv,https://drive.google.com/file/d/1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv/view?usp=drivesdk,Laporan Sarkop SO_11/01/2025,Data merged and appended successfully; PDF created; Run via form trigger as sarjanawarkop.id@gmail.com; Timestamp: Oct 31 2025 10:16 PM
Twinnings - Lemon & Ginger,Bahaya!,0,1,2,pack utuh,Online,Bahan Lainnya,Twinnings - Lemon & Ginger [pack utuh],,,1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv,https://drive.google.com/file/d/1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv/view?usp=drivesdk,Laporan Sarkop SO_11/01/2025,Data merged and appended successfully; PDF created; Run via form trigger as sarjanawarkop.id@gmail.com; Timestamp: Oct 31 2025 10:16 PM
"Twinnings - Passionfruit, Mango & Orange",Bahaya!,0,1,2,pack utuh,Online,Bahan Lainnya,"Twinnings - Passionfruit, Mango & Orange [pack utuh]",,,1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv,https://drive.google.com/file/d/1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv/view?usp=drivesdk,Laporan Sarkop SO_11/01/2025,Data merged and appended successfully; PDF created; Run via form trigger as sarjanawarkop.id@gmail.com; Timestamp: Oct 31 2025 10:16 PM
Twinnings - Lady Grey Tea,Bahaya!,0,1,2,pack utuh,Online,Bahan Lainnya,Twinnings - Lady Grey Tea [pack utuh],,,1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv,https://drive.google.com/file/d/1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv/view?usp=drivesdk,Laporan Sarkop SO_11/01/2025,Data merged and appended successfully; PDF created; Run via form trigger as sarjanawarkop.id@gmail.com; Timestamp: Oct 31 2025 10:16 PM
Twinnings - Peach Tea,Bahaya!,0,1,2,pack utuh,Online,Bahan Lainnya,Twinnings - Peach Tea [pack utuh],,,1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv,https://drive.google.com/file/d/1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv/view?usp=drivesdk,Laporan Sarkop SO_11/01/2025,Data merged and appended successfully; PDF created; Run via form trigger as sarjanawarkop.id@gmail.com; Timestamp: Oct 31 2025 10:16 PM
Twinnings - Pure Camomile,Bahaya!,0,1,2,pack utuh,Online,Bahan Lainnya,Twinnings - Pure Camomile [pack utuh],,,1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv,https://drive.google.com/file/d/1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv/view?usp=drivesdk,Laporan Sarkop SO_11/01/2025,Data merged and appended successfully; PDF created; Run via form trigger as sarjanawarkop.id@gmail.com; Timestamp: Oct 31 2025 10:16 PM
Twinnings - Pure Peppermint,Bahaya!,0,1,2,pack utuh,Online,Bahan Lainnya,Twinnings - Pure Peppermint [pack utuh],,,1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv,https://drive.google.com/file/d/1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv/view?usp=drivesdk,Laporan Sarkop SO_11/01/2025,Data merged and appended successfully; PDF created; Run via form trigger as sarjanawarkop.id@gmail.com; Timestamp: Oct 31 2025 10:16 PM
Teh Sosro - Teh Sosro,-,2,1,2,pack utuh,Toko Seberang,Bahan Lainnya,Teh Sosro - Teh Sosro [pack utuh],,,1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv,https://drive.google.com/file/d/1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv/view?usp=drivesdk,Laporan Sarkop SO_11/01/2025,Data merged and appended successfully; PDF created; Run via form trigger as sarjanawarkop.id@gmail.com; Timestamp: Oct 31 2025 10:16 PM
TWG - Genmaicha Japan,-,45,5,5,saset,Online,Bahan Lainnya,TWG - Genmaicha Japan [saset],,,1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv,https://drive.google.com/file/d/1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv/view?usp=drivesdk,Laporan Sarkop SO_11/01/2025,Data merged and appended successfully; PDF created; Run via form trigger as sarjanawarkop.id@gmail.com; Timestamp: Oct 31 2025 10:16 PM
TWG - Emperor Sencha Japan,-,6,5,5,saset,Online,Bahan Lainnya,TWG - Emperor Sencha Japan [saset],,,1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv,https://drive.google.com/file/d/1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv/view?usp=drivesdk,Laporan Sarkop SO_11/01/2025,Data merged and appended successfully; PDF created; Run via form trigger as sarjanawarkop.id@gmail.com; Timestamp: Oct 31 2025 10:16 PM
TWG - Yunnan FOP,Low,4,5,5,saset,Online,Bahan Lainnya,TWG - Yunnan FOP [saset],,,1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv,https://drive.google.com/file/d/1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv/view?usp=drivesdk,Laporan Sarkop SO_11/01/2025,Data merged and appended successfully; PDF created; Run via form trigger as sarjanawarkop.id@gmail.com; Timestamp: Oct 31 2025 10:16 PM
TWG - Chamomile,Low,8,10,10,saset,Online,Bahan Lainnya,TWG - Chamomile [saset],,,1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv,https://drive.google.com/file/d/1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv/view?usp=drivesdk,Laporan Sarkop SO_11/01/2025,Data merged and appended successfully; PDF created; Run via form trigger as sarjanawarkop.id@gmail.com; Timestamp: Oct 31 2025 10:16 PM
TWG - White Sky Tea,-,10,5,5,saset,Online,Bahan Lainnya,TWG - White Sky Tea [saset],,,1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv,https://drive.google.com/file/d/1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv/view?usp=drivesdk,Laporan Sarkop SO_11/01/2025,Data merged and appended successfully; PDF created; Run via form trigger as sarjanawarkop.id@gmail.com; Timestamp: Oct 31 2025 10:16 PM
TWG - Singapore Breakfast Tea,-,5,5,5,saset,Online,Bahan Lainnya,TWG - Singapore Breakfast Tea [saset],,,1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv,https://drive.google.com/file/d/1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv/view?usp=drivesdk,Laporan Sarkop SO_11/01/2025,Data merged and appended successfully; PDF created; Run via form trigger as sarjanawarkop.id@gmail.com; Timestamp: Oct 31 2025 10:16 PM
TWG - Imperial Oolong Formosa,-,7,5,5,saset,Online,Bahan Lainnya,TWG - Imperial Oolong Formosa [saset],,,1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv,https://drive.google.com/file/d/1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv/view?usp=drivesdk,Laporan Sarkop SO_11/01/2025,Data merged and appended successfully; PDF created; Run via form trigger as sarjanawarkop.id@gmail.com; Timestamp: Oct 31 2025 10:16 PM
TWG - Sencha,Low,4,5,5,saset,Online,Bahan Lainnya,TWG - Sencha [saset],,,1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv,https://drive.google.com/file/d/1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv/view?usp=drivesdk,Laporan Sarkop SO_11/01/2025,Data merged and appended successfully; PDF created; Run via form trigger as sarjanawarkop.id@gmail.com; Timestamp: Oct 31 2025 10:16 PM
TWG - French Earl Grey,Bahaya!,3,10,10,saset,Online,Bahan Lainnya,TWG - French Earl Grey [saset],,,1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv,https://drive.google.com/file/d/1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv/view?usp=drivesdk,Laporan Sarkop SO_11/01/2025,Data merged and appended successfully; PDF created; Run via form trigger as sarjanawarkop.id@gmail.com; Timestamp: Oct 31 2025 10:16 PM
TWG - English Breakfast Tea,Low,4,5,5,saset,Online,Bahan Lainnya,TWG - English Breakfast Tea [saset],,,1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv,https://drive.google.com/file/d/1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv/view?usp=drivesdk,Laporan Sarkop SO_11/01/2025,Data merged and appended successfully; PDF created; Run via form trigger as sarjanawarkop.id@gmail.com; Timestamp: Oct 31 2025 10:16 PM
TWG - Royal Darjeeling,-,8,5,5,saset,Online,Bahan Lainnya,TWG - Royal Darjeeling [saset],,,1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv,https://drive.google.com/file/d/1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv/view?usp=drivesdk,Laporan Sarkop SO_11/01/2025,Data merged and appended successfully; PDF created; Run via form trigger as sarjanawarkop.id@gmail.com; Timestamp: Oct 31 2025 10:16 PM
TWG - Grand Jasmine Tea,-,6,5,5,saset,Online,Bahan Lainnya,TWG - Grand Jasmine Tea [saset],,,1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv,https://drive.google.com/file/d/1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv/view?usp=drivesdk,Laporan Sarkop SO_11/01/2025,Data merged and appended successfully; PDF created; Run via form trigger as sarjanawarkop.id@gmail.com; Timestamp: Oct 31 2025 10:16 PM
TWG - Vanilla Bourbon,Low,5,10,10,saset,Online,Bahan Lainnya,TWG - Vanilla Bourbon [saset],,,1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv,https://drive.google.com/file/d/1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv/view?usp=drivesdk,Laporan Sarkop SO_11/01/2025,Data merged and appended successfully; PDF created; Run via form trigger as sarjanawarkop.id@gmail.com; Timestamp: Oct 31 2025 10:16 PM
TWG - Moonfruit Black Tea,Low,6,10,10,saset,Online,Bahan Lainnya,TWG - Moonfruit Black Tea [saset],,,1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv,https://drive.google.com/file/d/1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv/view?usp=drivesdk,Laporan Sarkop SO_11/01/2025,Data merged and appended successfully; PDF created; Run via form trigger as sarjanawarkop.id@gmail.com; Timestamp: Oct 31 2025 10:16 PM
Sweet Kokona by Amanda / Hot Cokelat KAI,Low,3,6,12,pack utuh (isi 5),Online,Bahan Lainnya,Sweet Kokona by Amanda / Hot Cokelat KAI [pack utuh (isi 5)],,,1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv,https://drive.google.com/file/d/1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv/view?usp=drivesdk,Laporan Sarkop SO_11/01/2025,Data merged and appended successfully; PDF created; Run via form trigger as sarjanawarkop.id@gmail.com; Timestamp: Oct 31 2025 10:16 PM
Delfi Hot Cocoa,-,1,1,2,renceng (isi 10),Barokah,Bahan Lainnya,Delfi Hot Cocoa [renceng (isi 10)],,,1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv,https://drive.google.com/file/d/1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv/view?usp=drivesdk,Laporan Sarkop SO_11/01/2025,Data merged and appended successfully; PDF created; Run via form trigger as sarjanawarkop.id@gmail.com; Timestamp: Oct 31 2025 10:16 PM
Dancow (Putih),-,1,1,2,renceng (isi 10),Barokah,Bahan Lainnya,Dancow (Putih) [renceng (isi 10)],,,1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv,https://drive.google.com/file/d/1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv/view?usp=drivesdk,Laporan Sarkop SO_11/01/2025,Data merged and appended successfully; PDF created; Run via form trigger as sarjanawarkop.id@gmail.com; Timestamp: Oct 31 2025 10:16 PM
Dancow (Cokelat),-,2,2,4,renceng (isi 10),Barokah,Bahan Lainnya,Dancow (Cokelat) [renceng (isi 10)],,,1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv,https://drive.google.com/file/d/1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv/view?usp=drivesdk,Laporan Sarkop SO_11/01/2025,Data merged and appended successfully; PDF created; Run via form trigger as sarjanawarkop.id@gmail.com; Timestamp: Oct 31 2025 10:16 PM
Milo,Low,1,2,4,renceng (isi 10),Barokah,Bahan Lainnya,Milo [renceng (isi 10)],,,1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv,https://drive.google.com/file/d/1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv/view?usp=drivesdk,Laporan Sarkop SO_11/01/2025,Data merged and appended successfully; PDF created; Run via form trigger as sarjanawarkop.id@gmail.com; Timestamp: Oct 31 2025 10:16 PM
Hilo (Choco Hazelnut),-,1,1,2,renceng (isi 10),Barokah,Bahan Lainnya,Hilo (Choco Hazelnut) [renceng (isi 10)],,,1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv,https://drive.google.com/file/d/1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv/view?usp=drivesdk,Laporan Sarkop SO_11/01/2025,Data merged and appended successfully; PDF created; Run via form trigger as sarjanawarkop.id@gmail.com; Timestamp: Oct 31 2025 10:16 PM
Susu Jahe Anget Sari,-,1,1,2,renceng (isi 10),Barokah,Bahan Lainnya,Susu Jahe Anget Sari [renceng (isi 10)],,,1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv,https://drive.google.com/file/d/1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv/view?usp=drivesdk,Laporan Sarkop SO_11/01/2025,Data merged and appended successfully; PDF created; Run via form trigger as sarjanawarkop.id@gmail.com; Timestamp: Oct 31 2025 10:16 PM
ABC Kopi Susu,-,2,1,2,renceng (isi 10),Barokah,Bahan Lainnya,ABC Kopi Susu [renceng (isi 10)],,,1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv,https://drive.google.com/file/d/1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv/view?usp=drivesdk,Laporan Sarkop SO_11/01/2025,Data merged and appended successfully; PDF created; Run via form trigger as sarjanawarkop.id@gmail.com; Timestamp: Oct 31 2025 10:16 PM
